[18:26:51] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il fait => 0,4019683
[18:26:52] [ENGINE - KINECT_0]	 AudioStateChanged (26:52.6):Silence
[18:26:59] [ENGINE - KINECT_0]	 AudioStateChanged (26:59.4):Speech
[18:26:59] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:26:59] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que => 0,2775128
[18:26:59] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelles => 0,5281406
[18:27:00] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH mets => 0,1502308
[18:27:01] [ENGINE - KINECT_0]	 AudioStateChanged (27:01.0):Silence
[18:27:07] [ENGINE - KINECT_0]	 AudioStateChanged (27:07.3):Speech
[18:27:07] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:07] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[18:27:07] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,0961704
[18:27:07] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,2583346
[18:27:08] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux => 0,218509
[18:27:08] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux la => 0,3028279
[18:27:10] [ENGINE - KINECT_0]	 AudioStateChanged (27:10.2):Silence
[18:27:19] [ENGINE - KINECT_0]	 AudioStateChanged (27:19.0):Speech
[18:27:19] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:19] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[18:27:19] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il => 0,001
[18:27:19] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH mets toi => 0,001
[18:27:19] [ENGINE - KINECT_0]	 AudioStateChanged (27:19.9):Silence
[18:27:22] [ENGINE - KINECT_0]	 AudioStateChanged (27:22.8):Speech
[18:27:22] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,2010808
[18:27:23] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,2065794
[18:27:23] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux => 0,1876809
[18:27:23] [ENGINE - KINECT_0]	 AudioStateChanged (27:23.7):Silence
[18:27:26] [ENGINE - KINECT_0]	 AudioStateChanged (27:26.3):Speech
[18:27:26] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:26] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,4035216
[18:27:27] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que => 0,5464677
[18:27:27] [ENGINE - KINECT_0]	 AudioStateChanged (27:27.2):Silence
[18:27:38] [ENGINE - KINECT_0]	 AudioStateChanged (27:38.4):Speech
[18:27:38] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:38] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,3741176
[18:27:38] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Que => 0,1424461
[18:27:39] [ENGINE - KINECT_0]	 AudioStateChanged (27:39.1):Silence
[18:27:59] [ENGINE - KINECT_0]	 AudioStateChanged (27:59.4):Speech
[18:27:59] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:27:59] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,4396118
[18:27:59] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,4523945
[18:28:00] [ENGINE - KINECT_0]	 AudioStateChanged (28:00.1):Silence
[18:28:01] [ENGINE - KINECT_0]	 AudioStateChanged (28:01.2):Speech
